Q6NT32,Q0P641,0
Q9H4Q3,Q8WUD4,0
Q658Y4,P83111,0
Q9BYE9,Q13433,0
O95785,Q8IZ81,0
P35606,Q0VFZ6,0
P55318,Q9BXU9,0
Q9UQP3,O14926,0
P60484,Q96DX8,0
Q6IA17,O14520,0
P98198,Q8N5U6,0
P52747,Q6MZP7,1
P54855,P56555,0
P18074,Q9NTI7,0
Q6ZVM7,O14907,0
Q9UPN6,Q8N7A1,0
Q8IV08,P35372,1
P29459,Q14919,0
Q9NXE4,O15503,0
P55895,Q8WXD2,0
Q86UT6,Q969P0,0
Q9HAU0,Q5EBL8,1
Q6PKC3,P30954,0
Q6MZW2,Q9H7C4,0
O14545,Q9NWH7,0
Q9NZC9,O95999,0
Q9BWM7,Q53H80,0
Q5TCY1,A0PJX0,0
Q99576,Q6ZMT1,0
Q7Z6I6,Q8N7X1,0
O95477,Q15120,0
A6NNM8,O43610,0
Q92973,Q92764,0
Q12789,P0CW21,0
Q5VW36,Q00169,0
E9PJ23,Q9Y2X7,0
Q13370,Q9HAU8,0
Q2V2M9,P50226,0
Q6XYQ8,Q01850,0
O96024,Q8NBF6,0
A6NIR3,Q16650,0
Q969G5,P55000,0
Q53H82,P56537,0
Q9Y252,Q8TBM8,0
Q8IZH2,Q86SX6,0
Q6ZW49,Q9NUV7,0
P01137,P51677,0
Q12879,C9JRZ8,0
Q9Y4I5,Q96B86,0
O95231,P43357,0
Q3MJ13,P08240,0
Q6UXD7,P35070,0
P11166,A7E2S9,0
Q8N4S9,Q9BQP7,0
Q86X10,Q8NGJ0,0
Q8NEQ6,A6NFY7,0
O00203,Q6FHJ7,0
Q9NRM0,O14508,0
Q7RTP0,Q86VD7,0
Q9H840,Q8WXD5,1
Q6UXB3,Q96FX8,0
Q86UZ6,Q9NPF8,0
Q96KJ4,P57057,0
Q9H6Y7,Q16740,0
P30566,P28907,0
P07476,Q9UGC7,0
Q9H714,Q9Y241,0
Q96BT1,Q9UHP9,0
Q4KMG0,Q9NNX1,0
Q9UK10,P11217,0
Q9NQS3,O60609,0
O43379,Q9H0I2,1
P34130,Q9NR48,0
Q8N4A0,P16152,0
Q96NB1,Q8IYX3,1
Q7Z3H4,Q8NGT7,0
P49685,Q9NSP4,0
Q5SNT2,Q96SQ9,0
P41180,P20333,0
Q9Y678,Q8IUH4,0
Q92847,Q9UBI6,0
Q9GZK6,Q8WZ69,0
Q32M78,Q8N5U0,0
Q86T29,Q96DM1,0
Q9NZJ5,Q9HD34,0
Q96A73,Q13268,0
A8MVX0,A6NGS2,0
